reading_id,machine_id,vibration,temperature,alert_flag,recorded_at
1,MCH-01,1.24,42.5,0,2026-03-10T08:00:00Z
2,MCH-02,2.15,45.1,0,2026-03-10T08:05:00Z
3,MCH-03,0.89,38.2,0,2026-03-10T08:10:00Z
4,MCH-01,1.56,44.0,0,2026-03-10T08:15:00Z
5,MCH-02,3.10,51.8,0,2026-03-10T08:20:00Z
6,MCH-03,1.05,39.5,0,2026-03-10T08:25:00Z
7,MCH-01,1.88,46.2,0,2026-03-10T08:30:00Z
8,MCH-02,2.45,49.0,0,2026-03-10T08:35:00Z
9,MCH-03,0.95,37.8,0,2026-03-10T08:40:00Z
10,MCH-01,2.02,48.1,0,2026-03-10T08:45:00Z
11,MCH-02,3.40,55.4,0,2026-03-10T08:50:00Z
12,MCH-03,1.12,,0,2026-03-10T08:55:00Z
13,MCH-01,1.75,45.8,0,2026-03-10T09:00:00Z
14,MCH-02,2.80,52.1,0,2026-03-10T09:05:00Z
15,MCH-03,1.01,38.9,0,2026-03-10T09:10:00Z
16,MCH-01,2.10,47.3,0,2026-03-10T09:15:00Z
17,MCH-02,3.65,58.0,0,2026-03-10T09:20:00Z
18,MCH-03,7.85,82.4,1,2026-03-10T09:25:00Z
19,MCH-01,1.90,46.5,0,2026-03-10T09:30:00Z
20,MCH-02,2.30,48.7,0,2026-03-10T09:35:00Z
21,MCH-03,0.92,37.2,0,2026-03-10T09:40:00Z
22,MCH-01,1.60,43.9,0,2026-03-10T09:45:00Z
23,MCH-02,3.05,53.0,0,2026-03-10T09:50:00Z
24,MCH-03,1.18,40.1,0,2026-03-10T09:55:00Z
25,MCH-01,2.25,999.9,1,2026-03-10T10:00:00Z
26,MCH-02,2.90,50.8,0,2026-03-10T10:05:00Z
27,MCH-03,0.85,36.5,0,2026-03-10T10:10:00Z
28,MCH-01,1.40,42.0,0,2026-03-10T10:15:00Z
29,MCH-02,3.15,54.2,0,2026-03-10T10:20:00Z
30,MCH-03,1.08,39.1,0,2026-03-10T10:25:00Z
31,MCH-01,1.80,45.5,0,2026-03-10T10:30:00Z
32,MCH-02,2.60,49.8,0,2026-03-10T10:35:00Z
33,MCH-01,2.12,45.0,0,2026-03-10T10:40:00Z
34,MCH-01,2.12,45.0,0,2026-03-10T10:45:00Z
35,MCH-01,2.12,45.0,0,2026-03-10T10:50:00Z
36,MCH-03,0.98,38.0,0,2026-03-10T10:55:00Z
37,MCH-01,1.65,44.2,0,2026-03-10T11:00:00Z
38,MCH-02,2.75,51.5,0,2026-03-10T11:05:00Z
39,MCH-03,1.15,39.8,0,2026-03-10T11:10:00Z
40,MCH-01,1.50,43.1,0,2026-03-10T11:15:00Z
